method,method_label,condition,condition_label,scenario_scale,seeds,seed_count,rollout_count,sample_count,violation_count,violation_rate,descriptive_wilson_95_upper,maximum_seed_violation_rate,qp_attempt_count,qp_rejected_count,qp_rejection_rate,qp_fallback_count,qp_fallback_rate,qp_intervention_rate,online_time_mean_ms,online_time_sd_ms,maximum_normalized_qp_residual,minimum_unrounded_barrier,relative_degrees,initial_state_set
rocbf_full,RoCBF-SF full margin,s4_nonlinear,S4:Nonlinear,0.4,"0,1,2,3,4",5,50,25000,15469,0.61876,0.6247619008832581,0.629,25000,25000,1.0,25000,1.0,0.0,25.057018579598516,3.6620461025788256,316.8307407004971,-0.7914182246592067,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_full,RoCBF-SF full margin,s5_valve,S5:Valve,0.35,"0,1,2,3,4",5,50,25000,2912,0.11648,0.1205156535281939,0.1352,25000,24950,0.998,24950,0.998,0.0,15.758439090289176,6.36124120297225,144.7575034472342,-0.18277706477721994,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_full,RoCBF-SF full margin,s6_fuel,S6:Fuel,0.5,"0,1,2,3,4",5,50,25000,14515,0.5806,0.586704051712866,0.598,25000,24950,0.998,24950,0.998,0.0,9.848674643747508,0.4700232463230264,182.64200984522736,-0.4432161167859029,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_mean,RoCBF-SF mean-only,nominal,Nominal,0.0,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.0,5.875669825877995,1.0634046268475417,0.0,3.4423236297015465,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_mean,RoCBF-SF mean-only,s1_heat,S1:Heat,0.3,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.72608,6.213955683894455,1.314020007647812,0.0,1.0750974404061253e-07,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_mean,RoCBF-SF mean-only,s2_pressure,S2:Pressure,0.24,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.31456,4.271301692388952,1.8395678028370999,0.0,3.3364043616757044e-07,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_mean,RoCBF-SF mean-only,s3_coupled,S3:Coupled,0.35,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.41324,3.1881355830840765,0.2739866152465924,0.0,-2.357829592014582e-05,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_mean,RoCBF-SF mean-only,s4_nonlinear,S4:Nonlinear,0.4,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.70036,6.714383495934308,1.2781456001376477,0.0,-0.0003774353807838082,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_mean,RoCBF-SF mean-only,s5_valve,S5:Valve,0.35,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.11372,5.77642121117562,1.7826585420256302,0.0,7.250599457719886e-07,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_mean,RoCBF-SF mean-only,s6_fuel,S6:Fuel,0.5,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.66704,3.226602646894753,0.3089308990521356,0.0,1.5471402310396342e-07,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
